,ecologie,economie,education,immigration,sante,securite_defense,date
1470,0,0,1,0,0,0,2022-01-21 20:17:21+00:00
1469,0,0,0,0,0,1,2022-01-21 20:17:30+00:00
1468,0,1,0,0,0,0,2022-01-21 20:19:02+00:00
1467,0,0,1,0,0,0,2022-01-21 20:39:14+00:00
1466,0,0,1,0,0,0,2022-01-21 20:39:40+00:00
1465,0,0,1,0,0,0,2022-01-23 09:41:25+00:00
1464,0,0,0,0,1,0,2022-01-23 09:43:59+00:00
1463,0,1,0,0,0,0,2022-01-23 10:25:35+00:00
1462,0,0,1,0,0,0,2022-01-23 10:29:02+00:00
1461,0,0,0,0,1,0,2022-01-23 10:34:54+00:00
1460,0,0,1,0,0,0,2022-01-23 10:51:23+00:00
1459,0,0,0,0,0,1,2022-01-23 11:22:21+00:00
1458,0,0,0,0,0,1,2022-01-23 11:25:23+00:00
1457,0,1,0,0,0,0,2022-01-23 11:34:55+00:00
1456,0,0,0,0,0,1,2022-01-23 16:38:27+00:00
1455,0,0,0,0,0,1,2022-01-23 18:05:25+00:00
1454,1,0,0,0,0,0,2022-01-23 18:07:05+00:00
1453,0,0,0,0,1,0,2022-01-23 18:10:32+00:00
1452,0,0,0,0,0,1,2022-01-23 18:13:05+00:00
1451,0,0,0,0,1,0,2022-01-23 18:14:23+00:00
1450,0,0,0,0,0,1,2022-01-23 18:19:36+00:00
1449,0,0,0,0,0,1,2022-01-23 18:19:57+00:00
1448,0,0,0,0,0,1,2022-01-23 18:23:59+00:00
1447,0,0,0,0,0,1,2022-01-23 18:24:03+00:00
1446,0,0,0,0,1,0,2022-01-23 18:24:35+00:00
1445,0,0,1,0,0,0,2022-01-23 18:25:57+00:00
1444,1,0,0,0,0,0,2022-01-23 18:27:36+00:00
1443,1,0,0,0,0,0,2022-01-23 18:29:58+00:00
1442,0,0,0,0,0,1,2022-01-23 18:31:48+00:00
1441,0,0,0,0,1,0,2022-01-23 18:32:58+00:00
1440,0,0,1,0,0,0,2022-01-23 18:36:00+00:00
1439,1,0,0,0,0,0,2022-01-23 18:36:09+00:00
1438,0,1,0,0,0,0,2022-01-23 18:38:13+00:00
1437,0,1,0,0,0,0,2022-01-23 18:41:34+00:00
1436,0,0,1,0,0,0,2022-01-23 18:41:47+00:00
1435,0,1,0,0,0,0,2022-01-23 18:43:49+00:00
1434,0,1,0,0,0,0,2022-01-23 18:45:30+00:00
1433,0,0,0,0,0,1,2022-01-23 18:53:08+00:00
1432,0,1,0,0,0,0,2022-01-23 18:53:44+00:00
1431,1,0,0,0,0,0,2022-01-23 18:55:00+00:00
1430,0,0,0,0,0,1,2022-01-23 18:57:37+00:00
1429,0,0,0,0,0,1,2022-01-23 18:58:52+00:00
1428,0,0,1,0,0,0,2022-01-23 19:03:00+00:00
1427,0,1,0,0,0,0,2022-01-23 19:44:26+00:00
1426,0,0,1,0,0,0,2022-01-24 10:48:48+00:00
1425,0,1,0,0,0,0,2022-01-24 12:02:20+00:00
1424,0,0,1,0,0,0,2022-01-24 16:09:38+00:00
1423,0,0,0,0,0,1,2022-01-24 18:57:12+00:00
1422,0,0,0,0,0,1,2022-01-24 18:59:39+00:00
1421,1,0,0,0,0,0,2022-01-24 19:02:30+00:00
1420,0,0,1,0,0,0,2022-01-24 19:05:24+00:00
1419,1,0,0,0,0,0,2022-01-24 19:07:13+00:00
1418,1,0,0,0,0,0,2022-01-24 19:08:23+00:00
1417,0,0,0,0,1,0,2022-01-24 19:10:44+00:00
1416,0,1,0,0,0,0,2022-01-24 19:12:15+00:00
1415,0,0,1,0,0,0,2022-01-24 19:18:03+00:00
1414,0,0,1,0,0,0,2022-01-24 19:20:35+00:00
1413,0,0,1,0,0,0,2022-01-24 19:22:06+00:00
1412,1,0,0,0,0,0,2022-01-24 19:23:23+00:00
1411,0,1,0,0,0,0,2022-01-24 19:26:09+00:00
1410,0,0,0,0,1,0,2022-01-24 19:28:19+00:00
1409,0,0,0,0,0,1,2022-01-24 19:31:06+00:00
1408,1,0,0,0,0,0,2022-01-24 19:35:53+00:00
1407,0,1,0,0,0,0,2022-01-24 19:38:37+00:00
1406,1,0,0,0,0,0,2022-01-24 19:42:39+00:00
1405,0,0,1,0,0,0,2022-01-24 19:42:49+00:00
1404,0,0,0,0,1,0,2022-01-24 19:45:19+00:00
1403,0,0,0,0,1,0,2022-01-24 19:47:34+00:00
1402,0,0,0,0,1,0,2022-01-24 19:48:11+00:00
1401,1,0,0,0,0,0,2022-01-24 19:52:14+00:00
1400,0,1,0,0,0,0,2022-01-24 19:52:58+00:00
1399,0,0,1,0,0,0,2022-01-24 19:53:40+00:00
1398,0,0,0,0,1,0,2022-01-24 19:54:21+00:00
1397,1,0,0,0,0,0,2022-01-24 19:57:39+00:00
1396,0,0,0,0,1,0,2022-01-24 19:58:43+00:00
1395,0,0,0,0,1,0,2022-01-24 20:02:00+00:00
1394,1,0,0,0,0,0,2022-01-24 20:04:45+00:00
1393,0,1,0,0,0,0,2022-01-24 20:09:19+00:00
1392,0,1,0,0,0,0,2022-01-24 20:15:42+00:00
1391,1,0,0,0,0,0,2022-01-24 20:19:21+00:00
1390,0,0,0,1,0,0,2022-01-24 20:26:44+00:00
1389,0,0,0,0,0,1,2022-01-24 20:32:07+00:00
1388,0,1,0,0,0,0,2022-01-25 10:05:39+00:00
1387,0,0,0,0,0,1,2022-01-25 10:11:59+00:00
1386,0,0,0,1,0,0,2022-01-25 13:06:22+00:00
1385,0,0,1,0,0,0,2022-01-25 16:06:42+00:00
1384,0,1,0,0,0,0,2022-01-26 10:11:09+00:00
1383,0,1,0,0,0,0,2022-01-26 20:07:52+00:00
1382,0,1,0,0,0,0,2022-01-27 13:59:33+00:00
1381,0,1,0,0,0,0,2022-01-27 14:21:13+00:00
1380,0,1,0,0,0,0,2022-01-27 20:25:09+00:00
1379,0,1,0,0,0,0,2022-01-27 20:31:52+00:00
1378,1,0,0,0,0,0,2022-01-27 20:33:24+00:00
1377,0,0,0,1,0,0,2022-01-27 20:42:33+00:00
