,ecologie,economie,education,immigration,sante,securite_defense,date
4374,0,0,0,1,0,0,2022-01-13 15:32:44+00:00
4373,0,0,1,0,0,0,2022-01-13 20:41:13+00:00
4372,0,0,0,0,0,1,2022-01-14 01:07:03+00:00
4371,1,0,0,0,0,0,2022-01-14 06:59:42+00:00
4370,0,0,1,0,0,0,2022-01-14 09:25:51+00:00
4369,0,1,0,0,0,0,2022-01-14 09:42:21+00:00
4368,1,0,0,0,0,0,2022-01-14 10:12:01+00:00
4367,1,0,0,0,0,0,2022-01-14 11:02:34+00:00
4366,0,0,0,0,0,1,2022-01-14 11:13:14+00:00
4365,0,0,0,0,0,1,2022-01-14 12:57:16+00:00
4364,0,0,0,0,0,1,2022-01-14 13:20:42+00:00
4363,0,0,0,0,0,1,2022-01-14 14:40:54+00:00
4362,1,0,0,0,0,0,2022-01-14 15:45:17+00:00
4361,1,0,0,0,0,0,2022-01-14 15:51:25+00:00
4360,1,0,0,0,0,0,2022-01-14 16:04:57+00:00
4359,0,1,0,0,0,0,2022-01-14 16:26:35+00:00
4358,1,0,0,0,0,0,2022-01-14 16:31:21+00:00
4357,1,0,0,0,0,0,2022-01-14 16:40:07+00:00
4356,1,0,0,0,0,0,2022-01-14 16:44:33+00:00
4355,1,0,0,0,0,0,2022-01-14 16:51:31+00:00
4354,1,0,0,0,0,0,2022-01-14 17:33:47+00:00
4353,1,0,0,0,0,0,2022-01-14 18:06:10+00:00
4352,0,0,1,0,0,0,2022-01-14 18:24:38+00:00
4351,0,1,0,0,0,0,2022-01-14 19:04:47+00:00
4350,0,0,1,0,0,0,2022-01-14 19:50:00+00:00
4349,0,0,1,0,0,0,2022-01-14 20:45:58+00:00
4348,0,0,0,0,0,1,2022-01-14 20:51:47+00:00
4347,1,0,0,0,0,0,2022-01-14 22:09:42+00:00
4346,1,0,0,0,0,0,2022-01-14 22:43:31+00:00
4345,0,0,1,0,0,0,2022-01-15 02:30:17+00:00
4344,0,0,1,0,0,0,2022-01-15 06:12:08+00:00
4343,0,0,0,0,0,1,2022-01-15 08:17:46+00:00
4342,0,0,1,0,0,0,2022-01-15 10:02:48+00:00
4341,0,0,1,0,0,0,2022-01-15 10:25:24+00:00
4340,0,1,0,0,0,0,2022-01-15 10:26:54+00:00
4339,0,0,1,0,0,0,2022-01-15 10:53:17+00:00
4338,0,0,1,0,0,0,2022-01-15 11:12:36+00:00
4337,0,0,0,0,0,1,2022-01-15 11:16:41+00:00
4336,0,0,1,0,0,0,2022-01-15 12:03:04+00:00
4335,0,1,0,0,0,0,2022-01-15 12:14:55+00:00
4334,0,1,0,0,0,0,2022-01-15 12:16:57+00:00
4333,1,0,0,0,0,0,2022-01-15 12:17:49+00:00
4332,0,0,0,1,0,0,2022-01-15 12:18:05+00:00
4331,0,0,1,0,0,0,2022-01-15 12:47:09+00:00
4330,0,0,0,0,0,1,2022-01-15 15:02:13+00:00
4329,0,0,1,0,0,0,2022-01-15 15:04:58+00:00
4328,0,0,1,0,0,0,2022-01-15 15:56:43+00:00
4327,0,0,1,0,0,0,2022-01-15 16:54:47+00:00
4326,0,1,0,0,0,0,2022-01-15 17:54:22+00:00
4325,0,0,1,0,0,0,2022-01-15 17:56:55+00:00
4324,0,1,0,0,0,0,2022-01-15 18:06:28+00:00
4323,0,0,0,0,0,1,2022-01-15 18:36:58+00:00
4322,0,0,1,0,0,0,2022-01-15 19:15:44+00:00
4321,0,1,0,0,0,0,2022-01-15 20:30:49+00:00
4320,1,0,0,0,0,0,2022-01-16 00:04:34+00:00
4319,0,1,0,0,0,0,2022-01-16 01:07:08+00:00
4318,0,0,0,0,0,1,2022-01-16 02:25:51+00:00
4317,0,1,0,0,0,0,2022-01-16 08:39:06+00:00
4316,0,0,0,0,1,0,2022-01-16 08:56:08+00:00
4315,0,0,1,0,0,0,2022-01-16 08:56:31+00:00
4314,1,0,0,0,0,0,2022-01-16 09:11:54+00:00
4313,0,1,0,0,0,0,2022-01-16 09:40:58+00:00
4312,0,1,0,0,0,0,2022-01-16 10:31:11+00:00
4311,0,0,1,0,0,0,2022-01-16 11:19:16+00:00
4310,0,0,0,0,0,1,2022-01-16 11:58:30+00:00
4309,0,0,0,0,1,0,2022-01-16 12:10:18+00:00
4308,1,0,0,0,0,0,2022-01-16 12:20:32+00:00
4307,0,1,0,0,0,0,2022-01-16 12:33:44+00:00
4306,1,0,0,0,0,0,2022-01-16 14:15:44+00:00
4305,0,0,0,0,1,0,2022-01-16 14:31:24+00:00
4304,0,1,0,0,0,0,2022-01-16 16:28:33+00:00
4303,0,0,0,0,1,0,2022-01-16 17:32:45+00:00
4302,0,0,0,0,1,0,2022-01-16 17:59:20+00:00
4301,0,0,0,1,0,0,2022-01-16 19:59:12+00:00
4300,0,1,0,0,0,0,2022-01-16 20:12:10+00:00
4299,0,0,1,0,0,0,2022-01-16 22:50:39+00:00
4298,0,0,1,0,0,0,2022-01-17 00:02:28+00:00
4297,0,0,1,0,0,0,2022-01-17 06:52:04+00:00
4296,0,0,0,1,0,0,2022-01-17 08:37:46+00:00
4295,0,0,1,0,0,0,2022-01-17 09:07:55+00:00
4294,0,0,1,0,0,0,2022-01-17 09:26:52+00:00
4293,1,0,0,0,0,0,2022-01-17 10:08:32+00:00
4292,0,0,0,0,1,0,2022-01-17 10:20:20+00:00
4291,0,0,0,0,1,0,2022-01-17 10:26:28+00:00
